Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
2020-08-22,581,612,1000,762,1044,2782,11483,1414,1945,682,2751,892,377,2864,134,404
2020-08-23,668,742,1184,757,1249,2972,11671,1614,1860,457,3080,1022,277,3557,231,640
2020-08-24,628,850,1176,807,950,2859,10206,1537,1576,595,2728,753,348,1549,185,707
2020-08-25,613,517,2625,607,1008,2337,9031,1218,1146,436,1689,910,281,1427,29,629
2020-08-26,226,517,1337,403,765,2171,6983,841,1527,556,1596,836,364,1753,107,275
2020-08-27,404,593,1513,304,1258,2076,10147,1053,1611,482,3311,835,367,2284,150,631
2020-08-28,519,578,865,597,1202,3096,11225,1718,1610,947,3155,920,522,2726,98,496
2020-08-29,647,719,985,429,1015,3741,11743,1374,1996,849,3301,1000,409,3304,157,568
2020-08-30,498,808,1361,635,857,3953,13744,1584,1975,700,2872,924,305,3399,198,956
2020-08-31,811,976,1624,512,1256,3563,11959,1532,1344,790,3125,776,329,2536,126,655
2020-09-01,801,442,3184,596,827,2830,9382,1234,1539,468,1599,847,416,1561,46,554
2020-09-02,202,488,1224,503,918,3012,8344,706,1268,548,1955,1025,169,1772,97,515
2020-09-03,611,378,1389,191,1032,2539,11342,1103,1442,650,2297,899,480,2155,201,533
2020-09-04,587,699,881,479,1006,3461,12463,1519,1686,886,3468,1061,466,2614,147,545
2020-09-05,595,650,912,512,1056,3460,13870,1507,1838,829,3472,1142,492,3120,232,908
2020-09-06,686,940,1529,590,1168,3877,13982,1314,1642,783,3032,1077,393,3351,202,723
2020-09-07,925,920,1919,804,1159,2995,12005,1328,1803,388,2326,960,412,1974,143,926
2020-09-08,660,728,4074,813,705,2014,9554,1214,1191,628,1812,891,569,2406,80,641
2020-09-09,442,605,821,427,1062,1619,8312,531,1517,525,2907,967,436,1315,138,181
2020-09-10,489,684,1302,253,1025,2573,10069,1194,1855,689,3946,1197,477,2203,180,177
2020-09-11,677,743,1062,575,1098,3227,13187,1473,2096,1018,3005,1195,452,3757,148,369
2020-09-12,658,778,1682,708,1410,4069,14476,1411,2296,760,3778,1169,559,3002,141,1165
2020-09-13,623,970,1426,562,1318,4212,12448,2001,2394,1173,2869,1174,622,3197,228,1081
2020-09-14,656,715,2161,841,1472,3345,11868,1039,1997,1014,3269,1031,537,2010,132,490
2020-09-15,598,587,3530,627,1491,1910,9321,1027,1658,537,1874,1039,526,1940,216,316
2020-09-16,313,476,876,485,476,2330,9257,616,1631,393,2041,1136,349,1678,125,920
2020-09-17,581,772,1060,340,915,2865,11193,1305,2087,931,3807,924,492,3300,224,850
2020-09-18,471,709,912,749,1667,4133,11187,1592,2312,971,3396,1539,653,2193,264,492
2020-09-19,734,644,1347,692,1297,3621,11755,1603,1735,1257,3266,1173,526,4158,347,667
2020-09-20,680,722,1796,884,750,2068,10089,1338,1749,870,2085,1012,583,2035,128,831
